Temperature,Pressure,TimeSec,AdditivePct,PreheatMin,CoolRate,LineId,Humidity,QualityResult
186.27,2.318,43.2,2.961,17.7,1.571,L1,40.4,NG
167.44,2.693,47.0,2.196,14.4,1.906,L1,38.2,OK
192.51,2.232,53.2,3.492,15.9,2.268,L1,51.1,NG
195.17,2.425,41.1,2.161,21.2,2.059,L1,51.4,NG
154.69,1.482,50.2,2.154,18.0,1.84,L1,59.6,OK
163.77,2.183,42.3,2.979,19.7,1.83,L2,57.9,OK
183.79,1.905,43.8,3.134,21.4,1.815,L3,46.8,NG
177.57,1.773,53.3,2.914,16.1,1.748,L2,36.8,OK
181.76,1.893,25.1,1.42,21.8,3.013,L2,45.1,OK
170.06,2.083,32.0,2.977,19.9,2.219,L1,50.0,OK
194.31,2.521,30.2,1.876,11.8,2.455,L3,46.2,NG
192.89,1.736,21.7,2.765,25.2,1.904,L2,42.8,NG
182.92,2.211,38.2,1.603,15.5,2.026,L3,50.3,OK
197.78,2.031,52.5,2.912,9.7,1.815,L3,43.5,NG
188.55,2.085,42.2,2.035,12.8,1.039,L1,42.3,NG
169.97,2.551,47.0,1.702,12.9,1.549,L1,50.8,OK
187.16,2.388,55.9,3.1,18.3,1.376,L1,44.4,NG
168.58,2.668,58.3,2.769,16.6,1.2,L2,50.2,OK
194.3,2.146,44.3,2.17,16.3,1.622,L3,50.5,NG
181.3,1.956,58.5,3.616,21.1,2.63,L1,37.7,NG
179.41,2.122,45.9,2.292,19.7,2.082,L3,43.7,OK
172.47,2.285,36.6,2.622,19.6,2.616,L2,60.9,OK
199.12,2.262,39.1,2.788,20.0,2.264,L1,37.5,NG
179.84,1.82,30.2,2.166,21.1,2.413,L1,29.0,OK
176.0,2.232,36.1,2.93,7.5,1.74,L2,31.2,OK
177.07,2.28,41.4,2.227,16.2,2.31,L2,48.3,OK
189.45,3.081,53.0,2.312,7.1,2.391,L2,48.3,NG
187.12,2.857,62.2,3.554,18.2,1.869,L1,46.9,NG
187.78,1.901,31.2,1.872,18.0,2.324,L2,58.9,NG
188.03,2.099,48.9,0.911,23.2,2.326,L1,23.9,NG
211.98,1.688,34.6,3.728,23.9,1.88,L3,51.6,NG
176.31,1.993,49.7,4.385,19.0,1.651,L1,62.1,OK
174.83,2.31,43.7,2.316,15.5,1.626,L1,37.8,OK
170.61,2.622,26.7,1.244,20.4,2.135,L2,44.6,OK
190.62,1.945,54.3,2.383,15.4,2.231,L2,41.2,NG
197.81,1.971,38.9,2.4,18.0,1.783,L2,40.0,NG
180.4,1.448,39.7,2.467,22.9,2.111,L2,45.1,OK
170.24,2.143,34.3,1.821,15.2,2.328,L3,60.8,OK
170.46,,38.5,3.006,22.0,2.347,L2,64.5,OK
191.11,2.015,49.3,2.967,21.4,2.721,L2,45.0,NG
192.41,1.893,43.1,1.554,13.2,2.611,L2,65.1,NG
189.6,2.167,48.3,3.089,22.9,1.699,L1,48.3,NG
172.68,1.585,48.6,4.037,21.5,2.773,L2,63.8,OK
185.25,1.687,58.2,2.72,18.5,1.888,L1,47.2,NG
183.63,2.945,41.6,2.364,14.2,2.518,L2,49.2,OK
185.06,1.749,30.2,2.501,13.7,2.127,L1,51.3,NG
194.2,1.816,55.7,3.031,15.3,1.935,L3,76.6,NG
185.13,2.843,41.7,1.389,20.7,1.377,L2,55.7,NG
191.5,3.217,56.1,2.715,13.2,2.031,L3,41.6,NG
182.95,1.79,48.8,2.327,20.2,1.476,L2,56.7,OK
186.05,2.071,43.7,3.893,11.8,2.487,L1,44.7,NG
190.84,2.32,48.5,2.478,17.0,2.707,L3,43.6,NG
161.6,2.805,64.5,3.768,18.5,1.781,L2,56.2,OK
177.52,1.855,65.8,1.827,30.2,2.221,L3,48.3,OK
175.41,2.114,45.7,3.011,11.1,1.81,L2,50.5,OK
173.06,2.472,46.6,2.824,25.4,1.849,L2,48.1,OK
178.15,2.352,55.8,1.992,18.7,2.41,L3,51.0,OK
202.93,2.068,36.5,2.724,20.1,2.085,L2,51.8,NG
169.88,2.153,48.3,3.449,18.6,2.796,L1,30.6,OK
195.56,1.719,44.7,2.373,20.2,1.907,L2,54.0,NG
158.44,2.117,48.1,1.416,17.2,2.5,L2,39.2,OK
177.31,,36.7,2.588,25.3,2.139,L3,35.0,OK
184.28,2.281,29.1,1.968,15.7,2.418,L1,47.5,OK
190.21,2.006,24.3,2.36,23.7,1.921,L2,48.8,NG
191.96,2.365,33.8,2.543,,2.08,L3,41.8,NG
193.11,2.554,40.4,1.406,17.7,2.054,L2,55.5,NG
177.12,2.254,42.1,1.469,12.6,1.766,L2,35.9,OK
175.53,2.323,64.4,2.937,20.3,2.365,L2,44.3,OK
194.01,2.219,56.1,2.234,25.2,2.36,L1,42.7,NG
179.32,2.2,35.4,0.805,17.6,2.337,L2,47.6,OK
164.14,1.947,48.5,3.149,17.0,2.715,L1,50.5,OK
166.13,2.311,40.9,2.791,12.4,2.68,L1,38.9,OK
169.13,2.166,42.2,2.1,16.9,1.95,L2,54.5,OK
188.96,2.933,46.9,1.678,10.0,2.249,L2,48.6,NG
183.99,2.751,51.2,3.185,13.4,1.851,L3,31.0,NG
191.67,2.335,41.6,2.845,19.1,2.109,L1,30.4,NG
176.02,1.933,55.6,4.268,24.6,1.86,L1,47.9,NG
184.22,1.811,33.6,,32.0,2.748,L3,46.0,NG
190.76,2.617,,2.871,15.1,2.245,L1,47.1,NG
177.67,2.292,71.0,2.483,25.2,2.013,L1,47.7,NG
188.39,2.368,47.2,3.172,19.2,2.577,L1,50.0,NG
172.73,1.589,59.3,3.038,17.2,1.232,L2,56.5,OK
176.92,2.525,45.9,3.476,20.2,1.294,L3,38.0,OK
176.66,2.359,50.8,2.235,18.3,2.418,L2,37.5,OK
165.26,1.811,44.4,2.295,18.6,2.124,L2,38.2,OK
188.82,2.035,43.3,2.265,16.0,2.2,L1,50.6,NG
175.43,2.292,37.2,3.154,11.0,1.569,L1,59.2,OK
182.17,2.218,49.3,3.649,10.3,2.091,L2,44.1,NG
188.73,2.098,36.5,2.279,21.3,2.901,L1,25.5,NG
188.25,2.164,51.7,2.303,16.6,2.43,L1,32.7,NG
191.32,2.112,55.9,2.82,15.0,2.168,L1,40.5,NG
180.62,2.253,48.7,2.428,18.0,1.924,L1,43.0,OK
176.07,2.715,42.1,3.266,22.0,1.942,L2,44.3,OK
180.88,1.302,49.5,1.024,18.9,1.248,L2,48.3,OK
158.38,2.117,41.9,2.021,14.7,2.203,L1,45.2,OK
161.74,2.262,54.4,2.052,24.1,2.438,L2,57.4,OK
163.48,2.304,26.7,0.976,25.9,1.47,L3,41.9,OK
168.04,2.07,41.6,1.925,20.5,1.835,L2,40.2,OK
187.6,1.585,25.1,1.959,22.9,1.637,L3,52.3,OK
169.32,2.315,30.0,2.459,24.2,1.714,L2,34.2,OK
176.71,2.805,58.6,3.379,23.7,2.121,L3,51.5,OK
200.19,1.663,54.0,2.428,21.1,1.266,L1,48.9,NG
177.01,2.502,37.8,1.878,21.0,2.346,L1,46.7,OK
192.33,2.085,30.0,2.56,20.6,2.402,L1,62.3,NG
168.93,2.179,15.4,3.334,12.5,2.0,L2,42.4,OK
179.12,1.831,39.6,1.917,21.5,1.108,L1,66.5,NG
168.7,2.083,69.2,1.963,11.2,1.701,L1,46.0,OK
177.25,2.655,49.3,2.991,14.0,2.593,L2,36.5,OK
193.76,2.404,39.4,2.445,24.5,0.989,L1,48.6,NG
157.82,2.806,49.7,3.053,22.2,1.961,L1,38.3,OK
188.08,2.612,29.4,2.59,25.4,1.628,L1,41.2,NG
185.33,2.354,42.0,3.091,16.6,2.422,L2,51.6,OK
173.68,2.81,46.0,1.875,12.2,1.83,L1,53.0,OK
